id	gender	race	c1rrscal	c1rrscala	c1rrtsco	c1rmscal	c1rmtsco	c1rgscal	c1rgtsco	c1fmotor	c1gmotor	c2rrscal	c2rrtsco	c2rmscal	c2rmtsco	c2rgscal	c2rgtsco	c3rrscal	c3rrtsco	c3rmscal	c3rmtsco	c3rgscal	c3rgtsco	c4rrscal	c4rrtsco	c4rmscal	c4rmtsco	c4rgscal	c4rgtsco	p1learn	p1contro	p1social	t1learn	t1contro	t1interp	t1extern	t1intern	p1center	p1disabl	p1htotal	p1hfamil	p1firkdg	p1hrsprk	wkmomed	wkdaded	wklangst	wksesl	wksesq5	s2kpupri	p1count	p1share	p1pencil	p1still	p1letter	p1verbal	p1expect	p1readbo	p1tellst	p1singso	p1helpar	p1chores	p1games	p1nature	p1build	p1sport	p1chlboo	p1chsesa	p2librar	p2safepl	p2garbag	p2drug	p2burglr	p2violen	p2vacant	p2bktog	ses_orig																																																																																																																																																																																			
1.00	1	1	25	25	54	22	55	29	59	9	6	32	52	26	50	42	69	37	51	34	52	38	60	44	44	46	53	44	63	3.67	3.20	3.33	3.67	3.50	4.00	1.20	1.00	1	2	5	1	1	20	6	9	2	60	5	2	2	1	2	3	2	2	5	4	4	4	2	4	3	4	2	4	100	1	1	3	3	3	3	3	3	5	1.53																																																																																																																																																																																			
2.00	1	1	22	22	50	19	52	21	49	5	1	29	48	28	52	33	57	33	47	30	48	30	50	55	51	45	53	38	54	3.50	3.00	4.00	3.83	4.00	4.00	1.80	1.00	1	2	4	1	1	12	4	5	2	48	4	2	2	2	2	2	2	2	4	3	4	4	3	4	3	3	3	3	100	1	2	3	3	3	3	3	3	3	0.33																																																																																																																																																																																			
3.00	1	1	22	22	51	23	57	30	60	7	8	27	46	28	53	39	65	37	52	38	56	41	63	54	50	48	55	41	58	2.67	2.80	3.67	3.00	2.75	2.40	2.60	2.25	2	2	5	1	1	40	5	3	2	44	3	1	3	1	3	2	3	2	4	4	1	4	2	4	3	1	2	1	30	1	1	3	3	3	3	3	3	7	-0.12																																																																																																																																																																																			
4.00	1	1	28	28	58	26	60	25	55	9	8	39	58	32	56	29	52	43	55	36	54	31	51	54	50	51	57	35	50	4.00	3.60	3.33	3.50	2.75	2.80	1.60	1.00	2	2	4	1	1	0	5	3	2	41	2	1	2	2	2	2	2	2	3	3	2	4	3	4	3	2	2	3	50	1	1	2	3	3	3	3	3	3	-0.45																																																																																																																																																																																			
5.00	2	1	29	29	59	19	52	26	56	9	8	38	57	32	55	34	59	41	54	31	49	33	53	78	64	46	53	38	54	3.83	3.20	3.67	3.83	3.50	3.40	1.00	1.00	1	2	6	1	1	12	3	3	2	40	2	1	3	1	2	1	1	1	3	4	4	4	2	4	2	3	3	2	50	2	2	3	3	3	3	3	3	2	-0.49																																																																																																																																																																																			
6.00	1	1	14	14	38	9	31	23	52	3	4	16	29	14	32	27	51	15	22	15	28	35	56	25	25	22	28	37	53	2.67	2.80	3.33	3.17	3.75	3.00	2.20	1.25	1	1	3	2	1	27	3	3	2	41	2	2	3	2	2	2	3	2	4	4	2	2	3	4	3	3	2	2	50	1	2	2	3	3	2	3	3	6	-0.43																																																																																																																																																																																			
7.00	2	1	23	23	52	24	58	27	57	7	5	39	58	32	56	29	53	43	56	41	59	35	56	70	60	53	60	43	62	3.33	3.00	3.33	3.33	3.00	2.80	2.00	1.00	1	2	3	2	1	8	6	6	2	55	5	1	5	2	2	5	5	2	4	4	2	4	2	1	2	3	2	2	70	2	2	3	3	3	3	3	3	1	0.97																																																																																																																																																																																			
8.00	1	1	23	23	52	21	54	31	61	8	6	30	49	44	67	40	66	33	48	50	66	36	57	66	57	53	60	44	64	3.33	2.80	3.00	3.33	2.75	2.20	2.00	1.75	2	2	5	1	1	40	7	7	2	60	5	1	3	2	3	2	3	1	4	4	3	4	3	3	2	4	4	3	30	2	2	2	3	3	2	3	3	0	1.45																																																																																																																																																																																			
9.00	1	1	38	38	67	31	65	34	64	6	5	38	57	50	72	38	64	40	54	52	67	39	61	72	61	56	63	45	65	2.67	2.60	3.00	2.83	3.00	3.00	1.00	1.00	2	2	4	1	1	40	6	6	2	57	5	2	3	2	2	2	2	2	5	4	3	4	3	4	3	3	4	3	200	1	2	2	2	3	2	3	3	2	1.16																																																																																																																																																																																			
10.00	2	1	33	33	63	29	62	37	69	8	8	35	54	33	57	45	76	41	54	41	58	45	72	71	60	55	62	48	73	3.50	3.00	3.33	3.67	3.25	2.80	2.00	1.50	1	1	5	1	1	8	4	5	2	48	4	1	2	2	3	2	3	2	4	4	2	4	2	4	2	2	2	2	50	1	1	3	3	3	2	3	3	5	0.27																																																																																																																																																																																			
11.00	1	1	29	29	59	30	64	19	46	6	6	55	67	40	63	27	50	54	62	49	65	31	51	73	61	55	62	40	58	3.50	3.00	3.00	2.83	3.50	3.60	1.40	1.25	2	2	5	1	1	0	3	5	2	42	2	1	3	2	3	2	2	2	4	2	1	4	2	4	3	2	3	2	100	1	2	3	3	3	3	3	3	7	-0.35																																																																																																																																																																																			
12.00	1	1	20	20	47	26	60	24	53	7	7	25	43	32	55	29	52	37	51	48	64	37	58	55	51	59	67	43	62	3.67	3.00	3.67	3.00	3.00	3.25	2.00	1.00	2	2	4	1	1	25	1	3	2	38	1	1	1	2	1	2	1	2	4	2	2	4	3	4	3	2	2	4	30	1	1	3	3	3	3	3	3	2	-0.69																																																																																																																																																																																			
13.00	2	1	20	20	47	19	52	23	52	9	8	29	49	33	57	30	54	38	52	37	55	36	57	50	48	47	54	39	55	2.67	3.40	3.33	3.00	3.00	2.80	1.20	1.00	2	2	3	2	1	17	3	5	2	42	3	1	2	1	2	1	2	2	4	3	2	4	2	4	2	1	1	2	100	2	1	2	3	3	3	3	3	7	-0.27																																																																																																																																																																																			
